,datetime,city,state,country,shape,duration_(seconds),duration_(hours/min),comments,date_posted,latitude,longitude,month,year,year_month
64878,1976-07-21 23:00:00,brevard,nc,us,sphere,300,5 minutes,Saw two star-like objects&#44 one bluish&#44 theother orange&#44 remain stationary for at least 5 minutes&#44 then&#44 in sequence and at about a 2 mi,11/19/1998,35.2333333,-82.7344444,7,1976,1976-07
64880,1980-07-21 14:00:00,exeter,ca,us,cigar,180,3 min.,I had gone outside to get the mail. when walking back to the house&#44 something caused me to look above the roof where I saw what i thoug,4/16/2005,36.2961111,-119.1411111,7,1980,1980-07
64881,1980-07-21 22:00:00,exeter,ca,us,cigar,180,hours,I WAS THER 7/21/80  IN EXETER,2/1/2007,36.2961111,-119.1411111,7,1980,1980-07
64882,1985-07-21 21:00:00,concord,ca,us,oval,600,10 minutes,2 crafts-one was 30 feet across&#44 blinking red&#44 green&#44blue&#44orange&#44white; second was football-field size but triangular.,5/24/2005,37.9780556,-122.03,7,1985,1985-07
64883,1987-07-21 11:00:00,gypsum,co,us,oval,300,5 minutes,UFO near Gypsum and Eagle Colorado around 1987 - strange oval object hovers and speeds away,1/10/2014,39.6469444,-106.9511111,7,1987,1987-07
64884,1987-07-21 23:00:00,new york city (brooklyn),ny,us,oval,3600,60 minutes,above-city sighting of oval-shaped U.F.O. during meteor shower,10/15/2002,40.7141667,-74.0063889,7,1987,1987-07
64885,1993-07-21 23:30:00,xenia,oh,us,light,360,5-6 minutes,Xenia Ohio. 3 white lights in triangle formation chase car.,5/14/2002,39.6847222,-83.9297222,7,1993,1993-07
64886,1994-07-21 22:00:00,hot springs,sd,us,light,600,ten minutes,Two silent stars hover; vanish when jet nears,10/11/2005,43.4316667,-103.4738889,7,1994,1994-07
64887,1994-07-21 23:15:00,goshen,oh,us,triangle,600,5-10 min,Triangle shaped craft on state route 28 at the Garrison Spurling rd intersection,8/12/2008,39.2333333,-84.1613889,7,1994,1994-07
64888,1995-07-21 23:15:00,philadelphia,pa,us,light,180,2-3 min.,Bright Light over I95 (Philly) which shot off at an incredible speed and angle.,6/18/2004,39.9522222,-75.1641667,7,1995,1995-07
64890,1996-07-21 20:15:00,ottawa (canada),on,ca,rectangle,180,3 mins,I was looking out at the sky from inside my condo. when I saw a large weird bright shape moving.,12/2/2000,45.416667,-75.7,7,1996,1996-07
64891,1996-07-21 23:00:00,montreal (canada),pq,ca,formation,50,30-50 seconds,We were driving along through montreal when I was looking up into the sky and saw a circle of colored lights with a green star shape in,12/2/2000,45.5,-73.583333,7,1996,1996-07
64893,1997-07-21 22:20:00,nun&#39s island (canada),pq,,formation,8,8 seconds,Formation of silent&#44 pale round objects on top of cloud ceiling ( about 15% cloud cover).,12/2/2000,45.456631,-73.547158,7,1997,1997-07
